Torneo,Ciudad,Fecha,Link_Resultados
Miami Open presented by Itau,"Miami, United States |",,https://www.atptour.com/en/tournaments/miami/403/results
Fayez Sarofim & Co. U.S. Men's Clay Court Championship,"Houston, United States |",,https://www.atptour.com/en/tournaments/houston/717/results
Grand Prix Hassan II,"Marrakech, Morocco |",,https://www.atptour.com/en/tournaments/marrakech/360/results
Tiriac Open presented by UniCredit Bank,"Bucharest, Romania |",,https://www.atptour.com/en/tournaments/bucharest/4462/results
Rolex Monte-Carlo Masters,"Monte-Carlo, Monaco |",,https://www.atptour.com/en/tournaments/monte-carlo/410/results
Barcelona Open Banc Sabadell,"Barcelona, Spain |",,https://www.atptour.com/en/tournaments/barcelona/425/results
BMW Open by Bitpanda,"Munich, Germany |",,https://www.atptour.com/en/tournaments/munich/308/results
Mutua Madrid Open,"Madrid, Spain |",,https://www.atptour.com/en/tournaments/madrid/1536/results
Internazionali BNL d'Italia,"Rome, Italy |",,https://www.atptour.com/en/tournaments/rome/416/results
Bitpanda Hamburg Open,"Hamburg, Germany |",,https://www.atptour.com/en/tournaments/hamburg/414/results
Gonet Geneva Open,"Geneva, Switzerland |",,https://www.atptour.com/en/tournaments/geneva/322/results
Roland Garros,"Paris, France |",,https://www.atptour.com/en/tournaments/roland-garros/520/results
BOSS OPEN,"Stuttgart, Germany |",,https://www.atptour.com/en/tournaments/stuttgart/321/results
Libema Open,"'s-Hertogenbosch, Netherlands |",,https://www.atptour.com/en/tournaments/s-hertogenbosch/440/results
HSBC Championships,"London, Great Britain |",,https://www.atptour.com/en/tournaments/london/311/results
Terra Wortmann Open,"Halle, Germany |",,https://www.atptour.com/en/tournaments/halle/500/results
Vanda Pharmaceuticals Mallorca Championships,"Mallorca, Spain |",,https://www.atptour.com/en/tournaments/mallorca/8994/results
Lexus Eastbourne Open,"Eastbourne, Great Britain |",,https://www.atptour.com/en/tournaments/eastbourne/741/results
Wimbledon,"London, Great Britain |",,https://www.atptour.com/en/tournaments/wimbledon/540/results
Nordea Open,"Bastad, Sweden |",,https://www.atptour.com/en/tournaments/bastad/316/results
EFG Swiss Open Gstaad,"Gstaad, Switzerland |",,https://www.atptour.com/en/tournaments/gstaad/314/results
Plava Laguna Croatia Open Umag,"Umag, Croatia |",,https://www.atptour.com/en/tournaments/umag/439/results
Generali Open,"Kitzbuhel, Austria |",,https://www.atptour.com/en/tournaments/kitzbuhel/319/results
Millennium Estoril Open,"Estoril, Portugal |",,https://www.atptour.com/en/tournaments/estoril/7290/results
Mubadala Citi DC Open,"Washington, United States |",,https://www.atptour.com/en/tournaments/washington/418/results
Mifel Tennis Open by Telcel Oppo,"Los Cabos, Mexico |",,https://www.atptour.com/en/tournaments/los-cabos/7480/results
National Bank Open presented by Rogers,"Montreal, Canada |",,https://www.atptour.com/en/tournaments/montreal/421/results
Cincinnati Open,"Cincinnati, United States |",,https://www.atptour.com/en/tournaments/cincinnati/422/results
Winston-Salem Open,"Winston-Salem, United States |",,https://www.atptour.com/en/tournaments/winston-salem/6242/results
US Open,"New York, United States |",,https://www.atptour.com/en/tournaments/us-open/560/results
Davis Cup Qualifiers 2nd Rd,"Multiple Locations,  |",,https://www.atptour.com/en/tournaments/davis-cup-qualifiers-2nd-rd/8097/results
Chengdu Open,"Chengdu, China |",,https://www.atptour.com/en/tournaments/chengdu/7581/results
Lynk & Co Hangzhou Open,"Hangzhou, China |",,https://www.atptour.com/en/tournaments/hangzhou/4713/results
Laver Cup,"London, Great Britain |",,https://www.atptour.com/en/tournaments/laver-cup/9210/results
China Open,"Beijing, China |",,https://www.atptour.com/en/tournaments/beijing/747/results
Kinoshita Group Japan Open Tennis Championships,"Tokyo, Japan |",,https://www.atptour.com/en/tournaments/tokyo/329/results
Rolex Shanghai Masters,"Shanghai, China |",,https://www.atptour.com/en/tournaments/shanghai/5014/results
Almaty Open,"Almaty, Kazakhstan |",,https://www.atptour.com/en/tournaments/almaty/9410/results
Grand Prix Auvergne-Rhone-Alpes,"Lyon, France |",,https://www.atptour.com/en/tournaments/lyon/496/results
BNP Paribas Fortis European Open,"Brussels, Belgium |",,https://www.atptour.com/en/tournaments/brussels/7485/results
Erste Bank Open,"Vienna, Austria |",,https://www.atptour.com/en/tournaments/vienna/337/results
Swiss Indoors Basel,"Basel, Switzerland |",,https://www.atptour.com/en/tournaments/basel/328/results
Rolex Paris Masters,"Paris, France |",,https://www.atptour.com/en/tournaments/paris/352/results
BNP Paribas Nordic Open,"Stockholm, Sweden |",,https://www.atptour.com/en/tournaments/stockholm/429/results
Nitto ATP Finals,"Turin, Italy |",,https://www.atptour.com/en/tournaments/nitto-atp-finals/605/results
Davis Cup Finals,"Bologna, Italy |",,https://www.atptour.com/en/tournaments/davis-cup-finals/8099/results
