tourney_id,tourney_name,surface,tourney_date,winner_name,loser_name,score,round,minutes,scraping_date,draw_size,tourney_level,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,court_ace_pct,court_speed
2026-perth-sydney-0,perth-sydney,Hard,20260102,Elise Mertens,Lin Zhu,6-2 6-2,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Zhizhen Zhang,Zizou Bergs,6-7 2-6 7-3 7-5,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,CHN,30,0,0,0,R,185.0,BEL,27,0,262.0,0,47.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Belinda Bencic,Leolia Jeanjean,6-2 6-4,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Stan Wawrinka,Arthur Rinderknech,5-7 7-6 7-5,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,183.0,SUI,41,0,0,0,R,196.0,FRA,31,0,92.0,0,28.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Sebastian Baez,Jaume Munar,6-4 6-4,Round Robin ,100,2026-03-04,0,0,0,0,0,0,R,170.0,ARG,26,0,0,0,R,183.0,ESP,29,0,53.0,0,36.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Solana Sierra,Jessica Bouzas Maneiro,6-4 5-7 6-0,Round Robin ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Maria Sakkari,Naomi Osaka,6-4 6-2,Round Robin ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Stefanos Tsitsipas,Shintaro Mochizuki,6-3 6-4,Round Robin ,100,2026-03-04,0,0,0,0,0,0,R,193.0,GRE,28,0,0,0,R,175.0,JPN,23,0,43.0,0,130.0,0,9.9,1.13
2026-brisbane-1,brisbane,Hard,20260104,Daniil Medvedev,Brandon Nakashima,6-2 7-6,Final ,100,2026-03-04,0,0,0,0,0,0,R,198.0,RUS,30,0,0,0,R,188.0,USA,25,0,11.0,0,30.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Daniil Medvedev,Alex Michelsen,6-4 6-2,Semifinals ,100,2026-03-04,0,0,0,0,0,0,R,198.0,RUS,30,0,0,0,R,193.0,USA,22,0,11.0,0,44.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Brandon Nakashima,Aleksandar Kovacevic,7-6 6-4,Semifinals ,100,2026-03-04,0,0,0,0,0,0,R,188.0,USA,25,0,0,0,R,183.0,USA,28,0,30.0,0,72.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Daniil Medvedev,Kamil Majchrzak,6-7 4-3 6-2,Quarterfinals ,100,2026-03-04,0,0,0,0,0,0,R,198.0,RUS,30,0,0,0,R,180.0,POL,30,0,11.0,0,57.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Aleksandar Kovacevic,Giovanni Mpetshi Perricard,7-6 4-3 6-6,Quarterfinals ,100,2026-03-04,0,0,0,0,0,0,R,183.0,USA,28,0,0,0,R,203.0,FRA,23,0,72.0,0,54.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Alex Michelsen,Sebastian Korda,6-3 7-6,Quarterfinals ,100,2026-03-04,0,0,0,0,0,0,R,193.0,USA,22,0,0,0,R,196.0,USA,26,0,44.0,0,37.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Brandon Nakashima,Raphael Collignon,6-3 6-3,Quarterfinals ,100,2026-03-04,0,0,0,0,0,0,R,188.0,USA,25,0,0,0,R,191.0,BEL,24,0,30.0,0,77.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Aleksandar Kovacevic,Cameron Norrie,7-6 4-4 6-6,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,183.0,USA,28,0,0,0,R,188.0,GBR,31,0,72.0,0,29.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Raphael Collignon,Grigor Dimitrov,7-6 6-1,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,191.0,BEL,24,0,0,0,R,191.0,BUL,35,0,77.0,0,42.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Giovanni Mpetshi Perricard,Rinky Hijikata,4-6 7-6 7-5,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,203.0,FRA,23,0,0,0,R,178.0,AUS,25,0,54.0,0,117.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Brandon Nakashima,Quentin Halys,6-2 6-4,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,188.0,USA,25,0,0,0,R,191.0,FRA,30,0,30.0,0,102.0,0,14.9,1.2
