tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-6865,Traralgon CH,Hard,64,C,20220103,285,104468,1.0,,Gilles Simon,R,183.0,FRA,37.0,126646,,,Tim Van Rijthoven,R,188.0,NED,24.6,6-0 6-2,3,R32,72.0,2.0,0.0,37.0,27.0,21.0,7.0,7.0,0.0,0.0,0.0,2.0,36.0,23.0,10.0,3.0,7.0,0.0,5.0,122.0,597.0,261.0,229.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,252,123961,8.0,,Murkel Alejandro Dellien Velasco,R,193.0,BOL,24.2,138485,3.0,,Conner Huertas Del Pino,R,188.0,PER,26.0,6-3 6-3,3,Q2,87.0,3.0,2.0,50.0,31.0,24.0,12.0,9.0,2.0,3.0,2.0,0.0,57.0,41.0,23.0,8.0,9.0,4.0,8.0,905.0,16.0,658.0,40.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,253,105700,2.0,,Jose Pereira,R,180.0,BRA,30.9,207815,12.0,,Guido Ivan Justo,R,178.0,ARG,24.0,6-3 6-0,3,Q2,60.0,4.0,0.0,32.0,22.0,19.0,9.0,8.0,0.0,1.0,0.0,3.0,61.0,39.0,19.0,8.0,7.0,5.0,10.0,648.0,41.0,1006.0,12.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,275,208913,,,Juan Bautista Torres,R,178.0,ARG,19.7,126177,,,Strong Kirchheimer,R,185.0,USA,26.6,6-1 6-2,3,R32,89.0,0.0,2.0,41.0,18.0,12.0,14.0,7.0,1.0,2.0,0.0,2.0,64.0,36.0,18.0,9.0,8.0,6.0,12.0,487.0,74.0,541.0,61.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,284,106164,,Q,Tomas Lipovsek Puches,R,183.0,ARG,28.7,209254,,WC,Valerio Aboian,L,183.0,ARG,19.5,6-2 7-6(3),3,R32,102.0,3.0,3.0,76.0,43.0,25.0,17.0,10.0,6.0,11.0,2.0,3.0,64.0,31.0,14.0,13.0,10.0,7.0,14.0,708.0,34.0,817.0,22.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,285,123961,,Q,Murkel Alejandro Dellien Velasco,R,193.0,BOL,24.2,105819,1.0,,Guido Andreozzi,R,183.0,ARG,30.4,6-3 6-2,3,R32,82.0,7.0,2.0,53.0,32.0,25.0,14.0,9.0,1.0,1.0,1.0,3.0,53.0,29.0,17.0,13.0,8.0,4.0,7.0,905.0,16.0,271.0,213.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,292,208882,,,Roman Andres Burruchaga,R,183.0,ARG,19.9,202197,6.0,,Carlos Gimeno Valero,R,191.0,ESP,20.5,6-0 4-6 7-6(4),3,R16,140.0,1.0,7.0,97.0,59.0,37.0,15.0,14.0,5.0,11.0,2.0,21.0,93.0,52.0,27.0,14.0,14.0,5.0,13.0,577.0,53.0,329.0,152.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,237,207793,11.0,,Alec Deckers,R,193.0,NED,21.6,207682,,,Lorenzo Gagliardo,R,175.0,ITA,21.5,7-6(4) 4-6 6-4,3,Q1,174.0,9.0,13.0,119.0,62.0,41.0,25.0,16.0,6.0,11.0,4.0,4.0,109.0,71.0,39.0,24.0,16.0,11.0,16.0,975.0,13.0,1373.0,4.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,238,202378,6.0,,Ignacio Carou,R,178.0,URU,22.4,206805,,,Luciano Carraro,R,183.0,ITA,23.7,6-2 6-4,3,Q1,84.0,1.0,2.0,44.0,31.0,23.0,8.0,9.0,0.0,2.0,1.0,4.0,61.0,39.0,18.0,11.0,9.0,5.0,10.0,775.0,27.0,2060.0,1.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,243,123961,8.0,,Murkel Alejandro Dellien Velasco,R,193.0,BOL,24.2,209336,,WC,Leonardo Lopez Linquet,R,180.0,ARG,20.2,6-4 6-1,3,Q1,91.0,2.0,5.0,63.0,33.0,23.0,16.0,9.0,4.0,6.0,0.0,3.0,51.0,29.0,13.0,9.0,8.0,0.0,5.0,905.0,16.0,1657.0,2.0
