player,rank,points,url_perfil
T. Barrios Vera,115,571,https://www.atptour.com/en/players/tomas-barrios-vera/bs86/overview
H. Gaston,116,564,https://www.atptour.com/en/players/hugo-gaston/g09o/overview
M. Trungelliti,117,561,https://www.atptour.com/en/players/marco-trungelliti/ta29/overview
Y. Wu,118,559,https://www.atptour.com/en/players/yibing-wu/wb32/overview
T. Schoolkate,119,536,https://www.atptour.com/en/players/tristan-schoolkate/s0n0/overview
J. Choinski,120,534,https://www.atptour.com/en/players/jan-choinski/ch12/overview
C. Taberner,121,533,https://www.atptour.com/en/players/carlos-taberner/te16/overview
T. Droguet,122,528,https://www.atptour.com/en/players/titouan-droguet/d0dw/overview
O. Virtanen,123,512,https://www.atptour.com/en/players/otto-virtanen/v0am/overview
C. Wong,124,503,https://www.atptour.com/en/players/coleman-wong/w0bh/overview
M. McDonald,125,501,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/overview
M. Damm,126,499,https://www.atptour.com/en/players/martin-damm/d0dt/overview
S. Mochizuki,127,495,https://www.atptour.com/en/players/shintaro-mochizuki/m0hu/overview
C. O'Connell,128,493,https://www.atptour.com/en/players/christopher-o'connell/o483/overview
N. Basilashvili,129,493,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/overview
A. Pellegrino,130,490,https://www.atptour.com/en/players/andrea-pellegrino/ph64/overview
J. Thompson,131,488,https://www.atptour.com/en/players/jordan-thompson/tc61/overview
D. Lajovic,132,486,https://www.atptour.com/en/players/dusan-lajovic/l987/overview
H. Rocha,133,483,https://www.atptour.com/en/players/henrique-rocha/r0go/overview
E. Moller,134,478,https://www.atptour.com/en/players/elmer-moller/m0k4/overview
D. Sweeny,135,462,https://www.atptour.com/en/players/dane-sweeny/s0ia/overview
D. Merida,136,458,https://www.atptour.com/en/players/daniel-merida/m0n7/overview
A. Gea,137,457,https://www.atptour.com/en/players/arthur-gea/g0ix/overview
J. Pinnington Jones,138,456,https://www.atptour.com/en/players/jack-pinnington-jones/p0ht/overview
B. Gojo,139,453,https://www.atptour.com/en/players/borna-gojo/gh92/overview
L. Nardi,140,444,https://www.atptour.com/en/players/luca-nardi/n0bg/overview
N. Budkov Kjaer,141,444,https://www.atptour.com/en/players/nicolai-budkov-kjaer/b0u4/overview
S. Travaglia,142,444,https://www.atptour.com/en/players/stefano-travaglia/ta12/overview
J. Faria,143,443,https://www.atptour.com/en/players/jaime-faria/f0f2/overview
M. Echargui,144,435,https://www.atptour.com/en/players/moez-echargui/ea13/overview
C. Rodesch,145,434,https://www.atptour.com/en/players/chris-rodesch/r0e0/overview
F. Passaro,146,431,https://www.atptour.com/en/players/francesco-passaro/p0ct/overview
L. Draxl,147,430,https://www.atptour.com/en/players/liam-draxl/d0dp/overview
B. Harris,148,426,https://www.atptour.com/en/players/billy-harris/hd68/overview
K. Jacquet,149,423,https://www.atptour.com/en/players/kyrian-jacquet/j0az/overview
M. Zheng,150,414,https://www.atptour.com/en/players/michael-zheng/z0bz/overview
P. Llamas Ruiz,151,414,https://www.atptour.com/en/players/pablo-llamas-ruiz/l0cx/overview
L. Harris,152,406,https://www.atptour.com/en/players/lloyd-harris/hg86/overview
Z. Piros,153,396,https://www.atptour.com/en/players/zsombor-piros/p09o/overview
N. Jarry,154,391,https://www.atptour.com/en/players/nicolas-jarry/j551/overview
L. Klein,155,386,https://www.atptour.com/en/players/lukas-klein/ki63/overview
C. Tseng,156,383,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/overview
U. Blanchet,157,382,https://www.atptour.com/en/players/ugo-blanchet/bv16/overview
Y. Bu,158,382,https://www.atptour.com/en/players/yunchaokete-bu/y09v/overview
R. Carballes Baena,159,379,https://www.atptour.com/en/players/roberto-carballes-baena/cf59/overview
H. Dellien,160,378,https://www.atptour.com/en/players/hugo-dellien/da31/overview
M. Lajal,161,377,https://www.atptour.com/en/players/mark-lajal/l0gh/overview
G. Zeppieri,162,374,https://www.atptour.com/en/players/giulio-zeppieri/z0a1/overview
A. Fery,163,372,https://www.atptour.com/en/players/arthur-fery/f0dm/overview
C. Smith,164,371,https://www.atptour.com/en/players/colton-smith/s0ze/overview
A. Bolt,165,369,https://www.atptour.com/en/players/alex-bolt/bi81/overview
R. Sakamoto,166,366,https://www.atptour.com/en/players/rei-sakamoto/s0uv/overview
A. Barrena,167,362,https://www.atptour.com/en/players/alex-barrena/b0gy/overview
L. Riedi,168,359,https://www.atptour.com/en/players/leandro-riedi/r0fs/overview
V. Sachko,169,358,https://www.atptour.com/en/players/vitaliy-sachko/ss25/overview
J. Kym,170,354,https://www.atptour.com/en/players/jerome-kym/k0ep/overview
N. Mejia,171,354,https://www.atptour.com/en/players/nicolas-mejia/m0aw/overview
T. Samuel,172,352,https://www.atptour.com/en/players/toby-samuel/s0tm/overview
Y. Nishioka,173,351,https://www.atptour.com/en/players/yoshihito-nishioka/n732/overview
L. Mikrut,174,350,https://www.atptour.com/en/players/luka-mikrut/m0n1/overview
E. Ymer,175,349,https://www.atptour.com/en/players/elias-ymer/y218/overview
G. Den Ouden,176,341,https://www.atptour.com/en/players/guy-den-ouden/d0h9/overview
J. Schwaerzler,177,341,https://www.atptour.com/en/players/joel-schwaerzler/s0wt/overview
J. Rodionov,178,340,https://www.atptour.com/en/players/jurij-rodionov/r09x/overview
D. Goffin,179,335,https://www.atptour.com/en/players/david-goffin/gb88/overview
H. Mayot,180,335,https://www.atptour.com/en/players/harold-mayot/m0g4/overview
C. Chidekh,181,334,https://www.atptour.com/en/players/clement-chidekh/c0bh/overview
F. Gomez,182,331,https://www.atptour.com/en/players/federico-agustin-gomez/gj16/overview
Z. Kolar,183,331,https://www.atptour.com/en/players/zdenek-kolar/kh56/overview
D. Glinka,184,328,https://www.atptour.com/en/players/daniil-glinka/g0by/overview
J. Clarke,185,320,https://www.atptour.com/en/players/jay-clarke/ci14/overview
J. Engel,186,317,https://www.atptour.com/en/players/justin-engel/e0dd/overview
C. Tabur,187,316,https://www.atptour.com/en/players/clement-tabur/t09x/overview
M. Cecchinato,188,316,https://www.atptour.com/en/players/marco-cecchinato/cf01/overview
A. Molcan,189,314,https://www.atptour.com/en/players/alex-molcan/mv14/overview
B. Tomic,190,314,https://www.atptour.com/en/players/bernard-tomic/ta46/overview
A. Holmgren,191,311,https://www.atptour.com/en/players/august-holmgren/h09n/overview
M. Gigante,192,310,https://www.atptour.com/en/players/matteo-gigante/g0gd/overview
N. Basavareddy,193,306,https://www.atptour.com/en/players/nishesh-basavareddy/b0nn/overview
P. Herbert,194,304,https://www.atptour.com/en/players/pierre-hugues-herbert/h996/overview
J. Prado Angelo,195,303,https://www.atptour.com/en/players/juan-carlos-prado-angelo/p0iy/overview
A. Galarneau,196,301,https://www.atptour.com/en/players/alexis-galarneau/gk06/overview
D. Evans,197,300,https://www.atptour.com/en/players/daniel-evans/e687/overview
J. Ficovich,198,298,https://www.atptour.com/en/players/juan-pablo-ficovich/fa43/overview
M. Dodig,199,297,https://www.atptour.com/en/players/matej-dodig/d0l3/overview
D. Added,200,297,https://www.atptour.com/en/players/dan-added/a09t/overview
G. Olivieri,201,293,https://www.atptour.com/en/players/genaro-alberto-olivieri/o660/overview
T. Skatov,202,292,https://www.atptour.com/en/players/timofey-skatov/s0gr/overview
G. Monfils,203,290,https://www.atptour.com/en/players/gael-monfils/mc65/overview
L. Djere,204,288,https://www.atptour.com/en/players/laslo-djere/db63/overview
G. Bailly,205,288,https://www.atptour.com/en/players/gilles-arnaud-bailly/b0qc/overview
G. Bueno,206,287,https://www.atptour.com/en/players/gonzalo-bueno/b0gr/overview
R. Bertola,207,286,https://www.atptour.com/en/players/remy-bertola/bu70/overview
F. Cina,208,285,https://www.atptour.com/en/players/federico-cina/c0nb/overview
L. Pavlovic,209,284,https://www.atptour.com/en/players/luka-pavlovic/p0ay/overview
L. Giustino,210,283,https://www.atptour.com/en/players/lorenzo-giustino/ga79/overview
A. Guillen Meza,211,282,https://www.atptour.com/en/players/alvaro-guillen-meza/g0dh/overview
J. Reis Da Silva,212,281,https://www.atptour.com/en/players/joao-lucas-reis-da-silva/r0a7/overview
H. Grenier,213,280,https://www.atptour.com/en/players/hugo-grenier/gf95/overview
O. Crawford,214,272,https://www.atptour.com/en/players/oliver-crawford/c0ak/overview
R. Noguchi,215,271,https://www.atptour.com/en/players/rio-noguchi/n09u/overview
Y. Hsu,216,271,https://www.atptour.com/en/players/yu-hsiou-hsu/h09f/overview
L. Midon,217,268,https://www.atptour.com/en/players/lautaro-midon/m0oh/overview
A. Andrade,218,259,https://www.atptour.com/en/players/andres-andrade/ag08/overview
M. Huesler,219,258,https://www.atptour.com/en/players/marc-andrea-huesler/hh06/overview
I. Simakin,220,257,https://www.atptour.com/en/players/ilia-simakin/s0o6/overview
B. Coric,221,255,https://www.atptour.com/en/players/borna-coric/cg80/overview
F. Diaz Acosta,222,255,https://www.atptour.com/en/players/facundo-diaz-acosta/d0cg/overview
Y. Zhou,223,255,https://www.atptour.com/en/players/yi-zhou/z0cq/overview
L. Neumayer,224,253,https://www.atptour.com/en/players/lukas-neumayer/n0cs/overview
S. Sakellaridis,225,252,https://www.atptour.com/en/players/stefanos-sakellaridis/s0kt/overview
S. Rodriguez Taverna,226,248,https://www.atptour.com/en/players/santiago-rodriguez-taverna/rh59/overview
G. Cadenasso,227,244,https://www.atptour.com/en/players/gianluca-cadenasso/c0nn/overview
T. Gentzsch,228,244,https://www.atptour.com/en/players/tom-gentzsch/g0ib/overview
R. Safiullin,229,242,https://www.atptour.com/en/players/roman-safiullin/sx50/overview
