player,aces_avg,df_avg,serve_win_pct,bp_saved_pct,service_hold_pct
Pierre Hugues Herbert,2086.0,1030.0,74.0,62.0,81.0
Clement Tabur,16.0,11.0,72.0,67.0,84.0
Nishesh Basavareddy,137.0,97.0,71.0,55.0,76.0
Hugo Grenier,203.0,111.0,70.0,57.0,73.0
Justin Engel,88.0,32.0,74.0,69.0,81.0
Timofey Skatov,32.0,38.0,62.0,56.0,69.0
Zdenek Kolar,17.0,22.0,69.0,59.0,75.0
Jerome Kym,92.0,29.0,78.0,62.0,88.0
Daniel Evans,1343.0,946.0,70.0,61.0,77.0
August Holmgren,71.0,28.0,80.0,71.0,87.0
Alex Molcan,290.0,217.0,66.0,60.0,75.0
Dan Added,3.0,3.0,55.0,50.0,29.0
Alvaro Guillen Meza,0.0,4.0,58.0,17.0,38.0
Jason Kubler,367.0,222.0,70.0,58.0,77.0
George Loffhagen,36.0,17.0,74.0,59.0,75.0
Clement Chidekh,1.0,6.0,70.0,71.0,81.0
Lorenzo Giustino,21.0,30.0,60.0,43.0,56.0
Joao Lucas Reis Da Silva,0.0,0.0,0.0,0.0,0.0
Thiago Monteiro,1123.0,467.0,72.0,62.0,80.0
Luka Pavlovic,8.0,1.0,76.0,67.0,70.0
James Mccabe,61.0,21.0,70.0,55.0,72.0
Gilles Arnaud Bailly,4.0,9.0,67.0,73.0,78.0
Juan Carlos Prado Angelo,0.0,0.0,0.0,0.0,0.0
Remy Bertola,3.0,3.0,66.0,25.0,67.0
Ilia Simakin,0.0,0.0,0.0,0.0,0.0
Oliver Crawford,5.0,3.0,72.0,70.0,85.0
Marco Cecchinato,859.0,516.0,68.0,57.0,75.0
Tristan Boyer,60.0,30.0,71.0,52.0,78.0
Gonzalo Bueno,0.0,0.0,0.0,0.0,0.0
Thiago Seyboth Wild,490.0,267.0,70.0,62.0,78.0
Yi Zhou,79.0,14.0,70.0,55.0,74.0
Yu Hsiou Hsu,23.0,15.0,66.0,60.0,72.0
Lukas Neumayer,8.0,12.0,68.0,47.0,70.0
Nerman Fatic,0.0,0.0,0.0,0.0,0.0
Frederico Ferreira Silva,17.0,17.0,62.0,50.0,66.0
Federico Cina,16.0,13.0,68.0,58.0,78.0
Lautaro Midon,3.0,1.0,54.0,55.0,44.0
Marc Andrea Huesler,613.0,190.0,74.0,63.0,82.0
Rodrigo Pacheco Mendez,18.0,19.0,61.0,39.0,60.0
Genaro Alberto Olivieri,8.0,9.0,66.0,60.0,72.0
Alexis Galarneau,21.0,14.0,73.0,39.0,73.0
Santiago Rodriguez Taverna,9.0,7.0,71.0,59.0,72.0
Matej Dodig,8.0,13.0,71.0,73.0,79.0
Andrea Collarini,0.0,4.0,57.0,38.0,56.0
Ryan Peniston,54.0,38.0,70.0,58.0,77.0
Max Houkes,0.0,0.0,0.0,0.0,0.0
Dmitry Popko,10.0,11.0,66.0,50.0,65.0
Borna Gojo,367.0,119.0,75.0,60.0,82.0
Felipe Meligeni Alves,80.0,23.0,69.0,62.0,75.0
Marko Topo,12.0,22.0,63.0,59.0,60.0
Johannus Monday,7.0,2.0,73.0,33.0,71.0
Murphy Cassone,11.0,8.0,82.0,67.0,88.0
Kaichi Uchida,18.0,11.0,69.0,65.0,80.0
Toby Samuel,0.0,0.0,0.0,0.0,0.0
Alejandro Moro Canas,10.0,7.0,64.0,68.0,73.0
Tom Gentzsch,0.0,0.0,0.0,0.0,0.0
Joel Schwaerzler,12.0,5.0,63.0,55.0,68.0
Filip Cristian Jianu,1.0,0.0,61.0,65.0,74.0
Henri Squire,30.0,17.0,75.0,48.0,76.0
Mitchell Krueger,167.0,88.0,68.0,57.0,75.0
Rio Noguchi,1.0,5.0,69.0,54.0,74.0
Kimmer Coppejans,79.0,32.0,65.0,60.0,70.0
Andres Andrade,0.0,0.0,0.0,0.0,0.0
Ivan Gakhov,23.0,22.0,65.0,59.0,66.0
Edas Butvilas,0.0,0.0,0.0,0.0,0.0
Pol Martin Tiffon,0.0,0.0,0.0,0.0,0.0
Pedro Boscardin Dias,0.0,0.0,0.0,0.0,0.0
Patrick Zahraj,2.0,6.0,75.0,38.0,62.0
Gustavo Heide,58.0,39.0,70.0,72.0,81.0
Charles Broom,8.0,6.0,61.0,63.0,64.0
Daniel Michalski,3.0,5.0,59.0,55.0,60.0
Juncheng Shang,355.0,201.0,70.0,63.0,80.0
Franco Agamenone,6.0,13.0,63.0,54.0,67.0
Mikhail Kukushkin,1173.0,572.0,66.0,60.0,74.0
Fajing Sun,11.0,4.0,72.0,38.0,80.0
Dimitar Kuzmanov,50.0,47.0,65.0,64.0,72.0
Geoffrey Blancaneaux,32.0,18.0,66.0,41.0,64.0
Sascha Gueymard Wayenburg,0.0,0.0,0.0,0.0,0.0
Nicolas Kicker,104.0,120.0,66.0,58.0,73.0
Tiago Pereira,0.0,0.0,0.0,0.0,0.0
Andres Martin,14.0,3.0,69.0,56.0,67.0
Florent Bax,0.0,0.0,0.0,0.0,0.0
Stefan Kozlov,91.0,150.0,63.0,56.0,62.0
Darwin Blanch,34.0,13.0,66.0,57.0,70.0
Nikolas Sanchez Izquierdo,2.0,4.0,62.0,40.0,50.0
Stefanos Sakellaridis,28.0,6.0,70.0,68.0,78.0
Harry Wendelken,0.0,0.0,0.0,0.0,0.0
Daniel Rincon,9.0,16.0,65.0,40.0,60.0
Murkel Dellien,0.0,0.0,0.0,0.0,0.0
Saba Purtseladze,0.0,0.0,0.0,0.0,0.0
Juan Pablo Varillas,241.0,86.0,68.0,59.0,74.0
Andrej Nedic,0.0,0.0,0.0,0.0,0.0
Liam Broady,198.0,143.0,66.0,58.0,72.0
Kei Nishikori,2129.0,1680.0,70.0,61.0,80.0
Facundo Diaz Acosta,150.0,172.0,67.0,59.0,75.0
Yasutaka Uchiyama,263.0,83.0,72.0,60.0,78.0
Petr Brunclik,0.0,0.0,0.0,0.0,0.0
Benjamin Hassan,10.0,13.0,69.0,57.0,66.0
Fabrizio Andaloro,0.0,0.0,0.0,0.0,0.0
Matheus Pucinelli De Almeida,3.0,2.0,58.0,43.0,53.0
Robin Bertrand,0.0,0.0,0.0,0.0,0.0
Lilian Marmousez,0.0,0.0,0.0,0.0,0.0
Beibit Zhukayev,110.0,31.0,75.0,58.0,77.0
Hynek Barton,0.0,0.0,0.0,0.0,0.0
Calvin Hemery,71.0,69.0,67.0,49.0,68.0
Mats Rosenkranz,0.0,0.0,0.0,0.0,0.0
Alex Rybakov,7.0,2.0,58.0,56.0,71.0
Sumit Nagal,59.0,99.0,61.0,58.0,66.0
Norbert Gombos,363.0,263.0,70.0,60.0,75.0
Michael Geerts,1.0,2.0,57.0,20.0,50.0
Jacopo Berrettini,3.0,8.0,66.0,36.0,59.0
Maximus Jones,0.0,0.0,0.0,0.0,0.0
Akira Santillan,46.0,24.0,70.0,45.0,74.0
Petr Bar Biryukov,0.0,0.0,0.0,0.0,0.0
Sandro Kopp,0.0,0.0,0.0,0.0,0.0
Miguel Damas,0.0,0.0,0.0,0.0,0.0
Gianluca Cadenasso,0.0,0.0,0.0,0.0,0.0
Garrett Johns,0.0,0.0,0.0,0.0,0.0
Keegan Smith,0.0,0.0,0.0,0.0,0.0
Eliakim Coulibaly,0.0,0.0,0.0,0.0,0.0
Diego Dedura,1.0,3.0,65.0,38.0,65.0
Philip Henning,0.0,0.0,0.0,0.0,0.0
Gauthier Onclin,2.0,4.0,65.0,43.0,78.0
Gabi Adrian Boitan,0.0,0.0,0.0,0.0,0.0
Mathys Erhard,0.0,0.0,0.0,0.0,0.0
Cedrik Marcel Stebe,288.0,229.0,65.0,55.0,68.0
Renta Tokuda,0.0,0.0,0.0,0.0,0.0
Matias Soto,0.0,0.0,0.0,0.0,0.0
Abdullah Shelbayh,59.0,53.0,67.0,60.0,69.0
Zhizhen Zhang,881.0,233.0,73.0,60.0,82.0
Daniel Dutra Da Silva,3.0,9.0,62.0,61.0,65.0
Maxim Mrva,0.0,0.0,0.0,0.0,0.0
Felix Gill,0.0,0.0,0.0,0.0,0.0
Sergey Fomin,0.0,0.0,0.0,0.0,0.0
Oliver Tarvet,8.0,2.0,72.0,40.0,79.0
Viktor Durasovic,54.0,29.0,63.0,58.0,58.0
Giles Hussey,4.0,6.0,78.0,44.0,78.0
Tyler Zink,0.0,0.0,0.0,0.0,0.0
Andrej Martin,121.0,131.0,63.0,61.0,67.0
Matteo Martineau,8.0,6.0,70.0,62.0,76.0
Tom Paris,0.0,0.0,0.0,0.0,0.0
Paul Jubb,35.0,44.0,72.0,53.0,76.0
James Trotter,8.0,1.0,66.0,67.0,78.0
Facundo Mena,3.0,2.0,79.0,71.0,80.0
Hady Habib,49.0,14.0,76.0,65.0,81.0
Soonwoo Kwon,592.0,394.0,70.0,60.0,77.0
Pavel Kotov,297.0,216.0,69.0,62.0,77.0
Jelle Sels,0.0,0.0,0.0,0.0,0.0
Franco Roncadelli,0.0,2.0,50.0,31.0,31.0
Hamish Stewart,0.0,0.0,0.0,0.0,0.0
Raul Brancaccio,1.0,6.0,63.0,50.0,70.0
Sean Cuenin,0.0,0.0,0.0,0.0,0.0
Carlos Sanchez Jover,0.0,0.0,0.0,0.0,0.0
Antoine Ghibaudo,0.0,0.0,0.0,0.0,0.0
Martin Krumich,0.0,0.0,0.0,0.0,0.0
Florian Broska,0.0,0.0,0.0,0.0,0.0
Duje Ajdukovic,42.0,23.0,67.0,41.0,67.0
Guido Ivan Justo,0.0,0.0,0.0,0.0,0.0
Igor Marcondes,0.0,0.0,0.0,0.0,0.0
Sanhui Shin,0.0,0.0,0.0,0.0,0.0
Denis Yevseyev,14.0,13.0,70.0,69.0,76.0
Marat Sharipov,0.0,0.0,0.0,0.0,0.0
Gonzalo Villanueva,3.0,3.0,64.0,33.0,82.0
Oleg Prihodko,0.0,0.0,0.0,0.0,0.0
Stefan Dostanic,22.0,12.0,68.0,68.0,81.0
Michael Mmoh,453.0,279.0,69.0,60.0,75.0
Juan Bautista Torres,0.0,0.0,0.0,0.0,0.0
Richard Gasquet,5248.0,2438.0,73.0,61.0,81.0
Arthur Bouquier,0.0,0.0,0.0,0.0,0.0
Gabriele Piraino,0.0,0.0,0.0,0.0,0.0
Juan Manuel La Serna,0.0,0.0,0.0,0.0,0.0
Trevor Svajda,6.0,2.0,67.0,67.0,76.0
Jonas Forejtek,9.0,2.0,75.0,67.0,78.0
Christoph Negritu,0.0,0.0,0.0,0.0,0.0
Christian Langmo,0.0,0.0,0.0,0.0,0.0
Andre Ilagan,0.0,0.0,0.0,0.0,0.0
Max Basing,0.0,0.0,0.0,0.0,0.0
Ioannis Xilas,0.0,0.0,0.0,0.0,0.0
Viacheslav Bielinskyi,0.0,0.0,0.0,0.0,0.0
Marc Polmans,102.0,92.0,65.0,58.0,71.0
Hayato Matsuoka,0.0,0.0,0.0,0.0,0.0
Maks Kasnikowski,6.0,5.0,62.0,50.0,67.0
Raphael Perot,0.0,0.0,0.0,0.0,0.0
Yuta Shimizu,1.0,3.0,52.0,29.0,38.0
Tung Lin Wu,13.0,9.0,64.0,64.0,75.0
Li Tu,80.0,33.0,71.0,54.0,75.0
Dominic Stricker,462.0,150.0,77.0,57.0,81.0
Javier Barranco Cosano,2.0,4.0,69.0,70.0,81.0
Cezar Cretu,0.0,0.0,0.0,0.0,0.0
Inaki Montes De La Torre,0.0,0.0,0.0,0.0,0.0
Omar Jasika,15.0,15.0,63.0,49.0,68.0
Federico Coria,355.0,337.0,63.0,56.0,67.0
Pedro Sakamoto,2.0,2.0,56.0,0.0,50.0
Mert Alkaya,0.0,0.0,0.0,0.0,0.0
Daniel Milavsky,0.0,0.0,0.0,0.0,0.0
David Jorda Sanchis,17.0,3.0,65.0,78.0,80.0
Dan  Martin,0.0,1.0,40.0,50.0,38.0
Aidan Mchugh,0.0,0.0,0.0,0.0,0.0
Luciano Emanuel Ambrogi,0.0,0.0,0.0,0.0,0.0
Gastao Elias,264.0,201.0,69.0,57.0,71.0
Mili Poljicak,9.0,8.0,69.0,68.0,68.0
Alfredo Perez,0.0,0.0,0.0,0.0,0.0
Facundo Bagnis,637.0,410.0,67.0,61.0,74.0
Christopher Eubanks,1167.0,368.0,74.0,64.0,84.0
Adria Soriano Barrera,0.0,0.0,0.0,0.0,0.0
Carlo Alberto Caniato,0.0,0.0,0.0,0.0,0.0
Hyeon Chung,508.0,405.0,70.0,58.0,77.0
Federico Arnaboldi,0.0,0.0,0.0,0.0,0.0
Kasidit Samrej,4.0,6.0,65.0,54.0,71.0
Hernan Casanova,1.0,2.0,64.0,70.0,67.0
Corentin Denolly,3.0,14.0,73.0,69.0,76.0
