trial,hidden_layers,dropout,lr,batch_size,epochs,lambda_decay,smoothing,interaction_set,val_acc,test_acc,log_loss
9,[128],0.1,0.0004872420129560892,1024,80,0.001,0.0,minimal,0.6612164813603663,0.6464360756424762,0.6047217537405577
98,[256],0.30000000000000004,0.000457064240116455,2048,60,0.003,0.05,upset,0.657728362764334,0.64473896880556,0.606020938061591
54,[256],0.30000000000000004,0.0008506491743210469,2048,80,0.003,0.04,upset,0.6599084368868542,0.6436883788588977,0.6036229341015719
51,"[512, 256, 128, 64]",0.2,0.0005217364059696461,2048,100,0.007,0.03,upset,0.6522781774580336,0.6428802327460805,0.6236829620513588
26,[64],0.35,0.0012344661141864572,256,80,0.001,0.04,minimal,0.657946370176586,0.6383546145143042,0.6099486528669358
95,[256],0.4,0.0008702944263237923,2048,80,0.003,0.06,upset,0.6593634183562241,0.6377080976240505,0.616592938745581
88,"[512, 256, 128]",0.35,0.0009908206639327516,2048,80,0.001,0.03,upset,0.6588183998255941,0.6353644738968806,0.6276993438810115
72,[256],0.15000000000000002,0.00039476216979225973,256,120,0.001,0.1,context,0.6613254850664922,0.6297882657184419,0.6362787952900202
65,"[256, 128, 64]",0.35,0.0006907166631176579,2048,80,0.003,0.04,upset,0.65838238500109,0.6286568611604978,0.6119174774942798
46,[256],0.35,0.0007599726849217176,2048,80,0.003,0.03,upset,0.6617614998909963,0.6238887990948764,0.6184834375621547
23,"[256, 256]",0.45000000000000007,0.002937827566639754,256,120,0.001,0.07,serve_return,0.6568563331153259,0.6235655406497495,1.0011574333627244
7,"[256, 256]",0.4,0.0009111430418810842,256,120,0.001,0.06,serve_return,0.6607804665358622,0.6166154840795216,0.8080964131829786
91,"[256, 128, 64]",0.15000000000000002,0.0007675786950934264,512,80,0.003,0.02,core,0.657619359058208,0.6104735736221109,0.6513666011330507
80,[256],0.35,0.0008775068055206927,512,100,0.003,0.05,upset,0.6560933071724439,0.6095037982867303,0.6319695490707586
37,"[128, 64, 32]",0.15000000000000002,0.0004436612483856459,2048,120,0.003,0.06,context,0.6534772182254197,0.5986746403749797,0.6871966048504599
87,"[256, 256]",0.25,0.0005734600096367155,256,120,0.003,0.03,minimal,0.657183344233704,0.5723290770971392,0.6493328730921243
25,"[256, 128]",0.5,0.0008003612340825772,256,120,0.007,0.08,serve_return,0.6497710922171354,0.571520930984322,0.6515150945148979
36,"[128, 64]",0.30000000000000004,0.0013670777165866847,1024,100,0.007,0.0,core,0.6495530848048834,0.5626313237433328,0.6866022755466987
90,[256],0.4,0.0003775154004123566,2048,120,0.007,0.04,upset,0.6528231959886636,0.5615807337966704,0.6777059031090257
2,[64],0.30000000000000004,0.000642033033629786,512,100,0.007,0.09,minimal,0.6544582515805537,0.557378374010021,0.6665159679697833
3,[128],0.35,0.0003081601704446808,2048,80,0.007,0.05,minimal,0.6551122738173097,0.5347502828511395,0.6730046389608928
34,[128],0.15000000000000002,0.0008603040942768446,1024,120,0.007,0.01,core,0.6536952256376717,0.5209309843219654,0.7185889999960794
77,"[128, 128]",0.45000000000000007,0.000729888487611041,2048,80,0.007,0.07,upset,0.6533682145192936,0.5206885404881203,0.6908463989167543
21,[256],0.15000000000000002,0.0007741924879833117,1024,120,0.015,0.05,core,0.6433398735557009,0.45151123323096815,0.7805009430872389
66,[256],0.30000000000000004,0.00010424389596549139,2048,80,0.015,0.01,upset,0.6470459995639852,0.43138839502181997,0.8201404125410694
16,"[256, 128]",0.5,0.0001563002884404777,1024,80,0.015,0.1,context,0.6465009810333552,0.4267819621787619,0.7789747955719172
49,[256],0.25,0.0010725155073978622,2048,80,0.015,0.03,upset,0.6526051885764116,0.4241150800064652,0.8507975907505014
38,"[256, 128, 64]",0.45000000000000007,0.0002966953763969813,512,60,0.015,0.09,minimal,0.6515151515151515,0.4121545175367706,0.7872086861389462
6,"[512, 256, 128, 64]",0.45000000000000007,0.00024044240360019065,512,120,0.015,0.09,minimal,0.6434488772618269,0.41126555681267174,0.8416964569844081
86,"[256, 128]",0.30000000000000004,0.0004738658719324098,2048,80,0.015,0.09,upset,0.644538914323087,0.3766769031840957,0.8339688442490955
